factor,IC,ICIR,Rank_IC,Rank_ICIR,coverage,n_obs
rocp_5,0.013404261962229476,0.05738822720948038,0.007125814863102998,0.03475572157046317,0.9957841483979764,29525
rocp_60,0.009361740858150037,0.04119615601014497,0.0005423083746223377,0.0025620125986440395,0.995579133510168,28150
klen,0.008920205961224534,0.043430513332296354,0.011237260629665692,0.05502874186827843,0.9958018471872376,29650
cfl,0.008852197330968144,0.04313345641258741,0.01036351833820188,0.051406270640138155,0.9958018471872376,29650
ksft,0.008852197330968144,0.04313345641258741,0.01036351833820188,0.051406270640138155,0.9958018471872376,29650
kup,0.008824067503461996,0.04300170082961107,0.010382343395001624,0.05149261312301401,0.9958018471872376,29650
klow,0.0076567428928337325,0.03694088406001866,0.011456669912366116,0.05461817516826624,0.9958018471872376,29650
cfh,0.007621230896675162,0.03677459532856209,0.01144044141512496,0.05458461490142119,0.9958018471872376,29650
ma_5,0.007448909780976209,0.031579068765610604,0.0051318866943866935,0.02469045415165859,0.9958018471872376,29650
ma_60,0.003967753367149933,0.017097658691081024,-0.004110576923076922,-0.019404949673404007,0.9958018471872376,29650
high0,0.002622953280827163,0.0111933947164899,0.0036086665199778333,0.017154485990831636,0.9957983193277311,29625
ema_12,0.002176523609402832,0.009227734988302075,-0.004679054054054055,-0.02243301133256688,0.9958018471872376,29650
kmid,0.0005321452868669478,0.0025377249142209046,-0.000665368386887376,-0.0032213158023148758,0.9958018471872376,29650
open0,0.0003385890785551409,0.0014307609152160825,0.002202442827442827,0.010237529992992798,0.9957983193277311,29625
ema_26,0.000289444379402729,0.0012255393229426864,-0.008918918918918918,-0.04241339558761448,0.9958018471872376,29650
low0,-0.0018121619351483978,-0.007642443320743334,0.0003686248514527531,0.001702887382201133,0.9957983193277311,29625
rocp_10,-0.003221810110336346,-0.013632819472773243,-0.013056628477905074,-0.06224987654578797,0.995766299745978,29400
std_5,-0.004037049894385871,-0.01698250625887203,-0.008581730769230772,-0.04041481389557539,0.9957983193277311,29625
ma_20,-0.004038915124118728,-0.017061978649803883,-0.012902806652806652,-0.06105773428485345,0.9958018471872376,29650
rocp_20,-0.008549680266809955,-0.036469291069536086,-0.015058435127104657,-0.07027025495700155,0.9957301451750641,29150
